symbol,start,open_low,open_low_date,close_high,close_high_date,delta,end
string,datetime,float,datetime,float,datetime,float,datetime
,,,,,,,
table_goog.csv,20060504,395.03,20060504,408.86,20060509,13.83,20060518
table_goog.csv,20070123,480.7,20070123,500.82,20070131,20.12,20070206
table_goog.csv,20060803,364.98,20060803,387.42,20060816,22.44,20060817
table_goog.csv,20120716,576.0,20120716,634.35,20120727,58.35,20120730
table_goog.csv,20111214,621.13,20111214,640.42,20111227,19.29,20111228
table_goog.csv,20110318,564.64,20110318,591.57,20110401,26.93,20110401
table_goog.csv,20120127,570.51,20120127,611.49,20120209,40.98,20120210
table_goog.csv,20070611,514.02,20070611,526.96,20070625,12.94,20070625
table_goog.csv,20051103,382.41,20051103,403.12,20051117,20.71,20051117
table_goog.csv,20090306,307.31,20090306,334.46,20090317,27.15,20090320
table_goog.csv,20070705,535.75,20070705,555.08,20070717,19.33,20070719
table_goog.csv,20091029,543.04,20091029,570.73,20091111,27.69,20091112
table_goog.csv,20070926,570.4,20070926,625.36,20071010,54.96,20071010
table_goog.csv,20120409,628.2,20120409,651.71,20120412,23.51,20120423
table_goog.csv,20090327,350.49,20090327,371.6,20090409,21.11,20090409
table_goog.csv,20110906,510.8,20110906,547.14,20110920,36.34,20110920
table_goog.csv,20090421,376.69,20090421,402.33,20090505,25.64,20090505
table_goog.csv,20040927,119.64,20040927,138.6,20041007,18.96,20041011
table_goog.csv,20060608,387.75,20060608,401.76,20060621,14.01,20060622
table_goog.csv,20100219,540.77,20100219,565.08,20100305,24.31,20100305
table_goog.csv,20100203,528.6,20100203,541.96,20100216,13.36,20100217
table_goog.csv,20130425,816.27,20130425,873.3,20130508,57.03,20130509
table_goog.csv,20121226,707.99,20121226,737.94,20130104,29.95,20130109
table_goog.csv,20071119,630.11,20071119,696.5,20071129,66.39,20071203
table_goog.csv,20080205,489.2,20080205,534.38,20080213,45.18,20080219
table_goog.csv,20071123,670.0,20071123,715.31,20071206,45.31,20071207
table_goog.csv,20120913,693.04,20120913,755.49,20120927,62.45,20120927
table_goog.csv,20110103,596.72,20110103,623.3,20110114,26.58,20110114
table_goog.csv,20101217,592.24,20101217,605.22,20101222,12.98,20101231
table_goog.csv,20121205,691.51,20121205,721.82,20121218,30.31,20121219
table_goog.csv,20080722,466.97,20080722,492.31,20080725,25.34,20080805
table_goog.csv,20110712,528.16,20110712,621.84,20110726,93.68,20110726
table_goog.csv,20050520,241.21,20050520,288.21,20050602,47.0,20050603
table_goog.csv,20101026,612.7,20101026,626.08,20101108,13.38,20101109
table_goog.csv,20110620,485.16,20110620,520.62,20110701,35.46,20110701
table_goog.csv,20050616,274.26,20050616,303.95,20050627,29.69,20050630
table_goog.csv,20091009,516.65,20091009,553.72,20091022,37.07,20091023
table_goog.csv,20070904,514.64,20070904,534.98,20070918,20.34,20070918
table_goog.csv,20050525,252.73,20050525,293.15,20050607,40.42,20050608
table_goog.csv,20060620,388.03,20060620,423.25,20060703,35.22,20060703
table_goog.csv,20070524,475.15,20070524,518.75,20070606,43.6,20070607
table_goog.csv,20050701,295.04,20050701,301.04,20050715,6.0,20050715
table_goog.csv,20090518,394.73,20090518,426.75,20090601,32.02,20090601
table_goog.csv,20110819,499.34,20110819,541.3,20110830,41.96,20110902
table_goog.csv,20060825,373.08,20060825,384.5,20060905,11.42,20060908
table_goog.csv,20070403,464.05,20070403,474.08,20070416,10.03,20070417
table_goog.csv,20061009,424.8,20061009,480.29,20061023,55.49,20061023
table_goog.csv,20120615,560.02,20120615,581.64,20120619,21.62,20120629
table_goog.csv,20050829,282.24,20050829,309.69,20050912,27.45,20050912
table_goog.csv,20100907,465.0,20100907,513.25,20100921,48.25,20100921
table_goog.csv,20090331,348.12,20090331,378.27,20090413,30.15,20090414
table_goog.csv,20120712,567.5,20120712,615.56,20120723,48.06,20120726
table_goog.csv,20070910,521.99,20070910,567.3,20070924,45.31,20070924
table_goog.csv,20080805,467.45,20080805,510.17,20080815,42.72,20080819
table_goog.csv,20050407,188.78,20050407,203.87,20050421,15.09,20050421
table_goog.csv,20050509,228.0,20050509,255.29,20050523,27.29,20050523
table_goog.csv,20090728,441.02,20090728,457.41,20090807,16.39,20090811
table_goog.csv,20080407,477.18,20080407,539.82,20080418,62.64,20080421
table_goog.csv,20090526,391.95,20090526,443.7,20090605,51.75,20090609
table_goog.csv,20090402,363.08,20090402,388.04,20090416,24.96,20090416
table_goog.csv,20081201,286.68,20081201,316.32,20081212,29.64,20081215
table_goog.csv,20081121,263.19,20081121,292.0,20081128,28.81,20081205
table_goog.csv,20100408,562.54,20100408,595.39,20100415,32.85,20100422
table_goog.csv,20130206,759.08,20130206,806.65,20130219,47.57,20130220
table_goog.csv,20090730,442.61,20090730,462.29,20090813,19.68,20090813
table_goog.csv,20090427,384.34,20090427,407.62,20090511,23.28,20090511
table_goog.csv,20111216,624.32,20111216,645.91,20111230,21.59,20111230
table_goog.csv,20090901,459.68,20090901,477.59,20090915,17.91,20090915
table_goog.csv,20090903,455.82,20090903,491.96,20090917,36.14,20090917
table_goog.csv,20120822,667.5,20120822,688.18,20120829,20.68,20120905
table_goog.csv,20050331,177.95,20050331,194.0,20050407,16.05,20050414
table_goog.csv,20120827,663.29,20120827,705.69,20120907,42.4,20120910
table_goog.csv,20070820,502.46,20070820,514.75,20070831,12.29,20070831
table_goog.csv,20120723,600.48,20120723,642.98,20120806,42.5,20120806
table_goog.csv,20091110,562.71,20091110,582.63,20091124,19.92,20091124
table_goog.csv,20090407,363.47,20090407,392.5,20090417,29.03,20090421
table_goog.csv,20100707,438.16,20100707,493.82,20100715,55.66,20100721
table_goog.csv,20081230,299.58,20081230,334.23,20090106,34.65,20090113
table_goog.csv,20130423,800.94,20130423,860.45,20130506,59.51,20130507
table_goog.csv,20110705,525.3,20110705,601.93,20110719,76.63,20110719
table_goog.csv,20090127,325.53,20090127,378.76,20090209,53.23,20090210
table_goog.csv,20120920,724.71,20120920,767.54,20121004,42.83,20121004
table_goog.csv,20080527,545.0,20080527,585.98,20080605,40.98,20080610
table_goog.csv,20110525,517.33,20110525,528.6,20110531,11.27,20110608
table_goog.csv,20041217,176.76,20041217,197.7,20041230,20.94,20041231
table_goog.csv,20061102,467.58,20061102,496.0,20061116,28.42,20061116
table_goog.csv,20080111,642.98,20080111,653.31,20080114,10.33,20080125
table_goog.csv,20050428,219.47,20050428,231.29,20050511,11.82,20050512
table_goog.csv,20041209,170.25,20041209,187.79,20041223,17.54,20041223
table_goog.csv,20051017,297.5,20051017,371.62,20051031,74.12,20051031
table_goog.csv,20071009,615.11,20071009,675.61,20071023,60.5,20071023
table_goog.csv,20050504,227.06,20050504,239.16,20050518,12.1,20050518
table_goog.csv,20090520,402.4,20090520,431.96,20090603,29.56,20090603
table_goog.csv,20071219,674.21,20071219,709.95,20071226,35.74,20080102
table_goog.csv,20091113,568.21,20091113,585.68,20091125,17.47,20091127
table_goog.csv,20120806,639.4,20120806,676.9,20120817,37.5,20120820
table_goog.csv,20070516,462.03,20070516,498.38,20070530,36.35,20070530
table_goog.csv,20080416,444.4,20080416,574.68,20080430,130.28,20080430
table_goog.csv,20100324,545.61,20100324,570.79,20100405,25.18,20100407
table_goog.csv,20120731,628.26,20120731,668.67,20120814,40.41,20120814
table_goog.csv,20070321,445.32,20070321,472.46,20070403,27.14,20070404
table_goog.csv,20081024,326.0,20081024,367.89,20081028,41.89,20081107
table_goog.csv,20120620,579.49,20120620,587.0,20120703,7.51,20120703
table_goog.csv,20070918,526.52,20070918,584.1,20071002,57.58,20071002
table_goog.csv,20051101,371.86,20051101,396.96,20051114,25.1,20051115
table_goog.csv,20080728,492.09,20080728,501.78,20080811,9.69,20080811
table_goog.csv,20080612,548.76,20080612,572.91,20080616,24.15,20080626
table_goog.csv,20051207,406.16,20051207,430.35,20051216,24.19,20051221
table_goog.csv,20041008,138.77,20041008,172.8,20041022,34.03,20041022
table_goog.csv,20100507,499.75,20100507,522.06,20100510,22.31,20100521
table_goog.csv,20081222,308.56,20081222,327.89,20090105,19.33,20090105
table_goog.csv,20050420,198.58,20050420,228.35,20050504,29.77,20050504
table_goog.csv,20050518,233.62,20050518,287.11,20050601,53.49,20050601
table_goog.csv,20070924,560.35,20070924,609.82,20071008,49.47,20071008
table_goog.csv,20090310,298.26,20090310,347.84,20090323,49.58,20090324
table_goog.csv,20080520,574.63,20080520,584.25,20080530,9.62,20080603
table_goog.csv,20041111,170.0,20041111,185.1,20041115,15.1,20041124
table_goog.csv,20040915,110.56,20040915,131.15,20040929,20.59,20040929
table_goog.csv,20100930,529.21,20100930,543.07,20101013,13.86,20101014
table_goog.csv,20041222,183.9,20041222,202.65,20050103,18.75,20050105
table_goog.csv,20130201,758.2,20130201,792.31,20130215,34.11,20130215
table_goog.csv,20071001,569.98,20071001,637.03,20071012,67.05,20071015
table_goog.csv,20130524,875.57,20130524,882.64,20130528,7.07,20130607
table_goog.csv,20071127,674.85,20071127,718.19,20071210,43.34,20071211
table_goog.csv,20070614,505.38,20070614,530.1,20070626,24.72,20070628
table_goog.csv,20090317,320.18,20090317,352.65,20090326,32.47,20090331
table_goog.csv,20090323,333.56,20090323,369.73,20090403,36.17,20090406
table_goog.csv,20041012,134.49,20041012,187.5,20041025,53.01,20041026
table_goog.csv,20090121,289.5,20090121,348.7,20090128,59.2,20090204
table_goog.csv,20051019,304.0,20051019,379.7,20051101,75.7,20051102
table_goog.csv,20090909,459.06,20090909,498.83,20090922,39.77,20090923
table_goog.csv,20070912,520.53,20070912,568.74,20070925,48.21,20070926
table_goog.csv,20111004,490.44,20111004,592.45,20111014,102.01,20111018
table_goog.csv,20040903,100.95,20040903,117.43,20040917,16.48,20040917
table_goog.csv,20040920,116.95,20040920,134.88,20041004,17.93,20041004
table_goog.csv,20130416,786.76,20130416,823.78,20130430,37.02,20130430
table_goog.csv,20061003,401.29,20061003,429.38,20061009,28.09,20061017
table_goog.csv,20101230,598.69,20101230,616.39,20110112,17.7,20110113
